symbol,donchian,atr_mult,atr_p,sharpe,mdd,pnl
1503.TW,60,2.0,10,-0.66,-21.0,-21.0
1503.TW,60,2.0,14,-0.66,-21.0,-21.0
1503.TW,60,2.0,20,-0.66,-21.0,-21.0
1503.TW,60,2.5,10,-0.66,-21.0,-21.0
1503.TW,60,2.5,14,-0.66,-21.0,-21.0
1503.TW,60,2.5,20,-0.66,-21.0,-21.0
1503.TW,60,3.0,10,-0.66,-21.0,-21.0
1503.TW,60,3.0,14,-0.66,-21.0,-21.0
1503.TW,60,3.0,20,-0.66,-21.0,-21.0
1503.TW,80,1.5,10,-0.29,-19.3,-9.03
1503.TW,80,1.5,14,-0.29,-19.3,-9.03
1503.TW,80,1.5,20,-0.29,-19.3,-9.03
1503.TW,80,2.0,10,-0.29,-19.3,-9.03
1503.TW,80,2.0,14,-0.29,-19.3,-9.03
1503.TW,80,2.0,20,-0.29,-19.3,-9.03
1503.TW,80,2.5,10,-0.29,-19.3,-9.03
1503.TW,80,2.5,14,-0.29,-19.3,-9.03
1503.TW,80,2.5,20,-0.29,-19.3,-9.03
1503.TW,80,3.0,10,-0.29,-19.3,-9.03
1503.TW,80,3.0,14,-0.29,-19.3,-9.03
1503.TW,80,3.0,20,-0.29,-19.3,-9.03
2330.TW,10,1.5,10,0.97,-29.43,43.54
2330.TW,10,1.5,14,1.07,-27.02,48.69
2330.TW,10,1.5,20,0.92,-27.02,40.18
2330.TW,10,2.0,10,0.97,-29.43,43.54
2330.TW,10,2.0,14,0.97,-29.43,43.54
2330.TW,10,2.0,20,0.97,-29.43,43.54
2330.TW,10,2.5,10,0.97,-29.43,43.54
2330.TW,10,2.5,14,0.97,-29.43,43.54
2330.TW,10,2.5,20,0.97,-29.43,43.54
2330.TW,10,3.0,10,0.97,-29.43,43.54
2330.TW,10,3.0,14,0.97,-29.43,43.54
2330.TW,10,3.0,20,0.97,-29.43,43.54
2330.TW,20,1.5,10,0.7,-25.08,29.36
2330.TW,20,1.5,14,0.88,-19.68,38.68
2330.TW,20,1.5,20,0.73,-20.01,30.55
2330.TW,20,2.0,10,0.89,-25.08,40.27
2330.TW,20,2.0,14,0.7,-25.08,29.36
2330.TW,20,2.0,20,0.7,-25.08,29.36
2330.TW,20,2.5,10,1.06,-19.02,51.92
2330.TW,20,2.5,14,1.06,-19.02,51.92
2330.TW,20,2.5,20,1.06,-19.02,51.92
2330.TW,20,3.0,10,1.06,-19.02,51.92
2330.TW,20,3.0,14,1.06,-19.02,51.92
2330.TW,20,3.0,20,1.06,-19.02,51.92
2330.TW,40,1.5,10,1.14,-27.39,57.28
2330.TW,40,1.5,14,1.49,-18.33,77.37
2330.TW,40,1.5,20,1.34,-18.33,66.46
2330.TW,40,2.0,10,1.5,-21.69,86.14
2330.TW,40,2.0,14,1.33,-21.69,71.98
2330.TW,40,2.0,20,1.33,-21.69,71.98
2330.TW,40,2.5,10,1.65,-17.43,101.71
2330.TW,40,2.5,14,1.65,-17.43,101.71
2330.TW,40,2.5,20,1.65,-17.43,101.71
2330.TW,40,3.0,10,1.65,-17.43,101.71
2330.TW,40,3.0,14,1.65,-17.43,101.71
2330.TW,40,3.0,20,1.65,-17.43,101.71
2330.TW,60,1.5,10,0.77,-26.91,33.39
2330.TW,60,1.5,14,1.2,-15.92,53.58
2330.TW,60,1.5,20,1.04,-17.5,44.29
2330.TW,60,2.0,10,1.15,-23.51,57.98
2330.TW,60,2.0,14,0.97,-23.51,45.75
2330.TW,60,2.0,20,0.97,-23.51,45.75
2330.TW,60,2.5,10,1.1,-23.51,55.6
2330.TW,60,2.5,14,1.1,-23.51,55.6
2330.TW,60,2.5,20,1.1,-23.51,55.6
2330.TW,60,3.0,10,1.1,-23.51,55.6
2330.TW,60,3.0,14,1.1,-23.51,55.6
2330.TW,60,3.0,20,1.1,-23.51,55.6
2330.TW,80,1.5,10,0.42,-26.21,15.17
2330.TW,80,1.5,14,0.87,-15.04,33.03
2330.TW,80,1.5,20,0.85,-15.04,32.5
2330.TW,80,2.0,10,0.8,-30.96,36.85
2330.TW,80,2.0,14,0.38,-30.96,13.84
2330.TW,80,2.0,20,0.38,-30.96,13.84
2330.TW,80,2.5,10,0.72,-30.96,33.06
2330.TW,80,2.5,14,0.72,-30.96,33.06
2330.TW,80,2.5,20,0.72,-30.96,33.06
2330.TW,80,3.0,10,0.72,-30.96,33.06
2330.TW,80,3.0,14,0.72,-30.96,33.06
2330.TW,80,3.0,20,0.72,-30.96,33.06
5871.TW,10,1.5,10,-1.09,-25.24,-25.24
5871.TW,10,1.5,14,-1.09,-25.24,-25.24
5871.TW,10,1.5,20,-0.77,-18.99,-18.99
5871.TW,10,2.0,10,-0.81,-19.97,-19.97
5871.TW,10,2.0,14,-0.81,-19.97,-19.97
5871.TW,10,2.0,20,-0.81,-19.97,-19.97
5871.TW,10,2.5,10,-0.81,-19.97,-19.97
5871.TW,10,2.5,14,-0.81,-19.97,-19.97
5871.TW,10,2.5,20,-0.81,-19.97,-19.97
5871.TW,10,3.0,10,-0.81,-19.97,-19.97
5871.TW,10,3.0,14,-0.81,-19.97,-19.97
